Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
178	-40	40	25812	178	-40	40	25812	178	-40	40	25812	178	-40	40	25812	178	-40	40	25812
179	-17	17	25829	179	-17	17	25829	179	-17	17	25829	179	-17	17	25829	179	-17	17	25829
180	-39	39	25868	180	-39	39	25868	180	-39	39	25868	180	-39	39	25868	180	-39	39	25868
181	-29	29	25897	181	-29	29	25897	181	-29	29	25897	181	-29	29	25897	181	-29	29	25897
182	-17	17	25914	182	-17	17	25914	182	-17	17	25914	182	-17	17	25914	182	-17	17	25914
183	-23	23	25937	183	-23	23	25937	183	-23	23	25937	183	-23	23	25937	183	-23	23	25937
184	-73	73	26010	184	-73	73	26010	184	-73	73	26010	184	-73	73	26010	184	-73	73	26010
185	-17	17	26027	185	-17	17	26027	185	-17	17	26027	185	-17	17	26027	185	-17	17	26027
186	-370	370	26397	186	-370	370	26397	186	-370	370	26397	186	-370	370	26397	186	-370	370	26397
187	-53	53	26450	187	-53	53	26450	187	-53	53	26450	187	-53	53	26450	187	-53	53	26450
188	-31	31	26481	188	-31	31	26481	188	-31	31	26481	188	-31	31	26481	188	-31	31	26481
189	-25	25	26506	189	-25	25	26506	189	-25	25	26506	189	-25	25	26506	189	-25	25	26506
190	-117	18	26524	190	-117	18	26524	190	-117	18	26524	190	-117	18	26524	190	-117	18	26524
191	-19	19	26543	191	-19	19	26543	191	-19	19	26543	191	-19	19	26543	191	-19	19	26543
192	-487	289	26832	192	-487	289	26832	192	-487	289	26832	192	-487	289	26832	192	-487	289	26832
193	-113	113	26945	193	-113	113	26945	193	-113	113	26945	193	-113	113	26945	193	-113	113	26945
194	-37	37	26982	194	-37	37	26982	194	-37	37	26982	194	-37	37	26982	194	-37	37	26982
195	-523	226	27208	195	-523	226	27208	195	-523	226	27208	195	-523	226	27208	195	-523	226	27208
196	-141	42	27250	196	-141	42	27250	196	-141	42	27250	196	-141	42	27250	196	-141	42	27250
197	-41	41	27291	197	-41	41	27291	197	-41	41	27291	197	-41	41	27291	197	-41	41	27291
198	-55	55	27346	198	-55	55	27346	198	-55	55	27346	198	-55	55	27346	198	-55	55	27346
199	-800	503	27849	199	-800	503	27849	199	-800	503	27849	199	-800	503	27849	199	-800	503	27849
