Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436	93	-15	15	3436
94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449	94	-13	13	3449
95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463	95	-14	14	3463
96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476	96	-13	13	3476
97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492	97	-115	16	3492
98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508	98	-16	16	3508
99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527	99	-19	19	3527
100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540	100	-13	13	3540
101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554	101	-113	14	3554
102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577	102	-23	23	3577
103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596	103	-19	19	3596
104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611	104	-15	15	3611
105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626	105	-15	15	3626
106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639	106	-13	13	3639
107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652	107	-13	13	3652
108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665	108	-13	13	3665
109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684	109	-19	19	3684
110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697	110	-13	13	3697
111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710	111	-13	13	3710
112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723	112	-13	13	3723
113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736	113	-13	13	3736
114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751	114	-15	15	3751
115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772	115	-120	21	3772
116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805	116	-231	33	3805
117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818	117	-13	13	3818
118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831	118	-13	13	3831
